,cluster_num
2016-01-01,1
2016-01-02,13
2016-01-03,13
2016-01-04,1
2016-01-05,1
2016-01-06,1
2016-01-07,1
2016-01-08,1
2016-01-09,13
2016-01-10,13
2016-01-11,1
2016-01-12,1
2016-01-13,1
2016-01-14,1
2016-01-15,1
2016-01-16,13
2016-01-17,13
2016-01-18,1
2016-01-19,1
2016-01-20,1
2016-01-21,1
2016-01-22,1
2016-01-23,13
2016-01-24,13
2016-01-25,1
2016-01-26,1
2016-01-27,1
2016-01-28,1
2016-01-29,1
2016-01-30,13
2016-01-31,13
2016-02-01,2
2016-02-02,2
2016-02-03,2
2016-02-04,2
2016-02-05,2
2016-02-06,14
2016-02-07,14
2016-02-08,2
2016-02-09,2
2016-02-10,2
2016-02-11,2
2016-02-12,2
2016-02-13,14
2016-02-14,14
2016-02-15,2
2016-02-16,2
2016-02-17,2
2016-02-18,2
2016-02-19,2
2016-02-20,14
2016-02-21,14
2016-02-22,2
2016-02-23,2
2016-02-24,2
2016-02-25,2
2016-02-26,2
2016-02-27,14
2016-02-28,14
2016-02-29,2
2016-03-01,3
2016-03-02,3
2016-03-03,3
2016-03-04,3
2016-03-05,15
2016-03-06,15
2016-03-07,3
2016-03-08,3
2016-03-09,3
2016-03-10,3
2016-03-11,3
2016-03-12,15
2016-03-13,15
2016-03-14,3
2016-03-15,3
2016-03-16,3
2016-03-17,3
2016-03-18,3
2016-03-19,15
2016-03-20,15
2016-03-21,3
2016-03-22,3
2016-03-23,3
2016-03-24,3
2016-03-25,3
2016-03-26,15
2016-03-27,15
2016-03-28,3
2016-03-29,3
2016-03-30,3
2016-03-31,3
2016-04-01,4
2016-04-02,16
2016-04-03,16
2016-04-04,4
2016-04-05,4
2016-04-06,4
2016-04-07,4
2016-04-08,4
2016-04-09,16
2016-04-10,16
2016-04-11,4
2016-04-12,4
2016-04-13,4
2016-04-14,4
2016-04-15,4
2016-04-16,16
2016-04-17,16
2016-04-18,4
2016-04-19,4
2016-04-20,4
2016-04-21,4
2016-04-22,4
2016-04-23,16
2016-04-24,16
2016-04-25,4
2016-04-26,4
2016-04-27,4
2016-04-28,4
2016-04-29,4
2016-04-30,16
2016-05-01,17
2016-05-02,5
2016-05-03,5
2016-05-04,5
2016-05-05,5
2016-05-06,5
2016-05-07,17
2016-05-08,17
2016-05-09,5
2016-05-10,5
2016-05-11,5
2016-05-12,5
2016-05-13,5
2016-05-14,17
2016-05-15,17
2016-05-16,5
2016-05-17,5
2016-05-18,5
2016-05-19,5
2016-05-20,5
2016-05-21,17
2016-05-22,17
2016-05-23,5
2016-05-24,5
2016-05-25,5
2016-05-26,5
2016-05-27,5
2016-05-28,17
2016-05-29,17
2016-05-30,5
2016-05-31,5
2016-06-01,6
2016-06-02,6
2016-06-03,6
2016-06-04,18
2016-06-05,18
2016-06-06,6
2016-06-07,6
2016-06-08,6
2016-06-09,6
2016-06-10,6
2016-06-11,18
2016-06-12,18
2016-06-13,6
2016-06-14,6
2016-06-15,6
2016-06-16,6
2016-06-17,6
2016-06-18,18
2016-06-19,18
2016-06-20,6
2016-06-21,6
2016-06-22,6
2016-06-23,6
2016-06-24,6
2016-06-25,18
2016-06-26,18
2016-06-27,6
2016-06-28,6
2016-06-29,6
2016-06-30,6
2016-07-01,7
2016-07-02,19
2016-07-03,19
2016-07-04,7
2016-07-05,7
2016-07-06,7
2016-07-07,7
2016-07-08,7
2016-07-09,19
2016-07-10,19
2016-07-11,7
2016-07-12,7
2016-07-13,7
2016-07-14,7
2016-07-15,7
2016-07-16,19
2016-07-17,19
2016-07-18,7
2016-07-19,7
2016-07-20,7
2016-07-21,7
2016-07-22,7
2016-07-23,19
2016-07-24,19
2016-07-25,7
2016-07-26,7
2016-07-27,7
2016-07-28,7
2016-07-29,7
2016-07-30,19
2016-07-31,19
2016-08-01,8
2016-08-02,8
2016-08-03,8
2016-08-04,8
2016-08-05,8
2016-08-06,20
2016-08-07,20
2016-08-08,8
2016-08-09,8
2016-08-10,8
2016-08-11,8
2016-08-12,8
2016-08-13,20
2016-08-14,20
2016-08-15,8
2016-08-16,8
2016-08-17,8
2016-08-18,8
2016-08-19,8
2016-08-20,20
2016-08-21,20
2016-08-22,8
2016-08-23,8
2016-08-24,8
2016-08-25,8
2016-08-26,8
2016-08-27,20
2016-08-28,20
2016-08-29,8
2016-08-30,8
2016-08-31,8
2016-09-01,9
2016-09-02,9
2016-09-03,21
2016-09-04,21
2016-09-05,9
2016-09-06,9
2016-09-07,9
2016-09-08,9
2016-09-09,9
2016-09-10,21
2016-09-11,21
2016-09-12,9
2016-09-13,9
2016-09-14,9
2016-09-15,9
2016-09-16,9
2016-09-17,21
2016-09-18,21
2016-09-19,9
2016-09-20,9
2016-09-21,9
2016-09-22,9
2016-09-23,9
2016-09-24,21
2016-09-25,21
2016-09-26,9
2016-09-27,9
2016-09-28,9
2016-09-29,9
2016-09-30,9
2016-10-01,22
2016-10-02,22
2016-10-03,10
2016-10-04,10
2016-10-05,10
2016-10-06,10
2016-10-07,10
2016-10-08,22
2016-10-09,22
2016-10-10,10
2016-10-11,10
2016-10-12,10
2016-10-13,10
2016-10-14,10
2016-10-15,22
2016-10-16,22
2016-10-17,10
2016-10-18,10
2016-10-19,10
2016-10-20,10
2016-10-21,10
2016-10-22,22
2016-10-23,22
2016-10-24,10
2016-10-25,10
2016-10-26,10
2016-10-27,10
2016-10-28,10
2016-10-29,22
2016-10-30,22
2016-10-31,10
2016-11-01,11
2016-11-02,11
2016-11-03,11
2016-11-04,11
2016-11-05,23
2016-11-06,23
2016-11-07,11
2016-11-08,11
2016-11-09,11
2016-11-10,11
2016-11-11,11
2016-11-12,23
2016-11-13,23
2016-11-14,11
2016-11-15,11
2016-11-16,11
2016-11-17,11
2016-11-18,11
2016-11-19,23
2016-11-20,23
2016-11-21,11
2016-11-22,11
2016-11-23,11
2016-11-24,11
2016-11-25,11
2016-11-26,23
2016-11-27,23
2016-11-28,11
2016-11-29,11
2016-11-30,11
2016-12-01,0
2016-12-02,0
2016-12-03,12
2016-12-04,12
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-10,12
2016-12-11,12
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-17,12
2016-12-18,12
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-24,12
2016-12-25,12
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2016-12-31,12
