,A,B,C,D,E,F1,G1,H1,I1,J1,M,N,K1,L,K,I,J,F,G,H,O,P,Q
2016-01-01 00:00:00,-34.2,-231.7,-80.5,-141.6,-108.2,-231.5,-122.3,-142.6,-25.7,-64.9,-305.6,-224.4,-103.0,-164.2,-249.3,-152.1,-1131.0,-496.4,-396.2,-491.6,-249.3,-152.1,-1131.0
2016-01-01 01:00:00,-32.1,-218.3,-76.0,-132.6,-102.3,-218.7,-115.9,-133.5,-24.4,-61.0,-286.5,-210.7,-96.9,-154.5,-235.3,-143.8,-1059.9,-468.1,-371.9,-462.1,-235.3,-143.8,-1059.9
2016-01-01 02:00:00,-30.7,-208.8,-72.6,-126.9,-98.2,-209.8,-110.4,-128.0,-23.3,-58.2,-274.1,-201.6,-92.5,-147.3,-224.0,-137.4,-1015.4,-448.2,-355.6,-441.3,-224.0,-137.4,-1015.4
2016-01-01 03:00:00,-30.0,-203.4,-71.0,-124.2,-96.1,-205.0,-107.7,-125.3,-22.7,-56.7,-267.5,-196.7,-90.3,-143.6,-218.2,-133.9,-990.5,-438.1,-346.9,-430.6,-218.2,-133.9,-990.5
2016-01-01 04:00:00,-30.3,-205.1,-72.0,-126.1,-97.3,-207.5,-109.3,-127.0,-23.0,-57.2,-269.9,-198.9,-91.4,-145.7,-220.8,-135.4,-1000.0,-443.8,-350.1,-436.0,-220.8,-135.4,-1000.0
2016-01-01 05:00:00,-31.6,-213.6,-75.3,-131.9,-101.5,-216.4,-114.4,-132.4,-24.0,-59.6,-280.5,-207.4,-95.4,-152.8,-230.7,-141.3,-1043.3,-463.2,-364.1,-455.6,-230.7,-141.3,-1043.3
2016-01-01 06:00:00,-34.4,-231.1,-81.5,-143.1,-109.9,-234.5,-124.2,-142.9,-26.1,-64.9,-303.5,-225.4,-103.4,-166.5,-250.3,-153.3,-1130.8,-501.6,-394.4,-495.4,-250.3,-153.3,-1130.8
2016-01-01 07:00:00,-38.3,-257.2,-90.3,-159.4,-122.6,-260.7,-138.0,-158.4,-28.9,-72.5,-337.6,-250.6,-114.9,-185.3,-278.3,-170.8,-1259.6,-557.2,-439.0,-550.8,-278.3,-170.8,-1259.6
2016-01-01 08:00:00,-44.9,-301.8,-105.4,-186.3,-144.3,-306.3,-160.9,-185.9,-33.8,-85.2,-396.0,-294.5,-134.6,-217.0,-326.4,-200.4,-1481.0,-653.1,-515.0,-646.1,-326.4,-200.4,-1481.0
2016-01-01 09:00:00,-52.3,-352.0,-123.4,-217.1,-167.7,-356.5,-186.7,-216.6,-39.3,-99.4,-462.4,-341.6,-156.7,-255.0,-379.8,-231.7,-1732.8,-759.7,-601.0,-753.3,-379.8,-231.7,-1732.8
2016-01-01 10:00:00,-59.1,-398.6,-139.1,-244.1,-189.9,-400.4,-209.1,-245.1,-43.9,-112.0,-522.0,-384.5,-176.6,-286.7,-425.8,-260.0,-1954.1,-854.6,-677.9,-847.9,-425.8,-260.0,-1954.1
2016-01-01 11:00:00,-62.7,-425.9,-148.5,-261.0,-202.4,-426.2,-223.6,-262.5,-46.9,-119.5,-557.8,-409.5,-189.4,-305.2,-453.6,-278.1,-2086.0,-912.3,-724.1,-904.1,-453.6,-278.1,-2086.0
2016-01-01 12:00:00,-61.9,-418.6,-146.5,-256.1,-199.5,-419.4,-220.0,-260.2,-46.1,-117.5,-549.5,-403.7,-185.4,-299.0,-443.5,-272.6,-2058.4,-899.6,-713.1,-888.1,-443.5,-272.6,-2058.4
2016-01-01 13:00:00,-60.5,-408.4,-142.7,-249.9,-195.1,-409.3,-214.7,-253.1,-45.0,-115.1,-537.0,-395.1,-180.6,-292.2,-433.1,-266.4,-2008.1,-877.1,-697.1,-867.9,-433.1,-266.4,-2008.1
2016-01-01 14:00:00,-63.0,-425.9,-147.5,-259.6,-203.2,-425.2,-222.7,-261.4,-46.5,-119.9,-557.4,-410.3,-187.5,-304.9,-450.2,-278.0,-2079.1,-909.3,-723.7,-902.7,-450.2,-278.0,-2079.1
2016-01-01 15:00:00,-65.2,-440.2,-151.7,-267.9,-209.9,-436.6,-230.1,-267.9,-47.9,-123.8,-574.8,-423.2,-193.4,-315.3,-464.9,-287.8,-2134.5,-934.6,-746.5,-931.9,-464.9,-287.8,-2134.5
2016-01-01 16:00:00,-67.9,-456.7,-157.9,-279.6,-218.6,-455.1,-239.3,-279.2,-50.1,-129.0,-601.6,-442.5,-201.6,-327.7,-483.9,-298.5,-2231.7,-973.6,-780.7,-971.8,-483.9,-298.5,-2231.7
2016-01-01 17:00:00,-69.7,-464.2,-162.4,-288.3,-224.9,-466.8,-244.9,-287.5,-51.6,-132.5,-621.3,-455.5,-206.9,-336.9,-495.9,-305.1,-2293.2,-999.1,-805.4,-999.3,-495.9,-305.1,-2293.2
2016-01-01 18:00:00,-66.2,-438.8,-154.5,-274.2,-214.2,-442.4,-231.9,-275.6,-49.0,-125.4,-591.8,-430.7,-196.5,-318.6,-468.4,-288.7,-2183.2,-949.8,-766.2,-945.8,-468.4,-288.7,-2183.2
2016-01-01 19:00:00,-56.5,-376.7,-132.6,-234.7,-183.5,-377.7,-198.8,-237.2,-42.0,-106.9,-505.8,-366.0,-168.1,-271.2,-398.2,-247.0,-1869.6,-813.6,-654.8,-805.3,-398.2,-247.0,-1869.6
2016-01-01 20:00:00,-45.1,-302.6,-106.3,-188.0,-146.9,-302.0,-159.6,-190.9,-33.9,-85.7,-404.9,-292.7,-134.6,-216.6,-318.2,-197.6,-1501.8,-652.5,-524.4,-643.8,-318.2,-197.6,-1501.8
2016-01-01 21:00:00,-37.9,-253.0,-88.7,-157.1,-122.0,-253.3,-133.4,-159.6,-28.3,-71.6,-339.8,-246.2,-112.4,-180.7,-266.7,-165.0,-1250.8,-546.3,-439.6,-539.3,-266.7,-165.0,-1250.8
2016-01-01 22:00:00,-35.7,-237.0,-82.9,-146.6,-112.8,-237.7,-125.2,-149.0,-26.6,-67.0,-318.4,-231.8,-104.8,-168.8,-251.9,-155.0,-1155.8,-511.9,-412.1,-505.3,-251.9,-155.0,-1155.8
